URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,73,33,0.377358487,0.999999991,23,0.609137056,9.335962515,23,1080,1170,2,4,6
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,65,38,0.26213592,0.99999999,17,0.493219129,7.11580617,17,691,808,2,8,5
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,72,35,0.345794389,0.999999991,20,0.571852732,8.247788712,20,963,1038,2,2,5
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,71,24,0.494736837,0.999999989,17,0.519521411,7.11215639,17,825,933,2,22,5
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,24,0.407407402,0.999999988,20,0.519526627,8.160751827,20,878,1013,2,16,5
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,52,23,0.386666662,0.999999987,22,0.532520325,8.844587077,22,655,705,2,32,5
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27,12,0.384615375,0.999999974,16,0.520661157,6.521307941,16,378,425,2,11,5
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,1,0.666666667,0.666666667,1,2,3,2,0,4
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,42,13,0.527272718,0.999999982,19,0.542979943,7.972747533,19,379,420,2,0,5
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,77,40,0.316239314,0.999999991,25,0.538640596,10.32369153,25,1157,1249,2,10,5
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,55,58,-0.026548672,0.999999991,18,0.58746594,7.574986376,18,1078,1146,2,0,5
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,45,19,0.406249994,0.999999984,21,0.57008547,8.438560504,21,667,709,2,11,5
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,34,24,0.17241379,0.999999983,14,0.526533997,5.819915924,14,635,782,2,7,5
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,71,24,0.494736837,0.999999989,21,0.485124469,8.640203634,21,799,871,2,30,5
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,67,22,0.505617972,0.999999989,18,0.536298234,7.495471675,18,820,928,2,12,5
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,0.999999964,0.999999964,24,0.573146293,9.734020422,24,286,312,2,0,5
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,102,39,0.446808507,0.999999993,225,0.486366166,90.04454647,225,874,946,2,17,5
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,0,0.999999963,0.999999963,16,0.553020134,6.699468923,16,412,447,2,0,5
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,0.428571408,0.999999952,18,0.547788873,7.229115549,18,384,424,2,0,5
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,3,-0.19999996,0.9999998,28,0.538461538,11.48205128,28,91,109,2,2,5
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,1,0.666666667,0.666666667,1,2,3,2,0,4
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,35,66,-0.30693069,0.99999999,24,0.557833089,9.809098148,24,762,809,2,2,5
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,15,0.166666662,0.999999972,23,0.511921459,9.404768583,23,365,418,2,4,5
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,72,38,0.309090906,0.999999991,17,0.507684155,7.127844304,17,958,1037,2,15,5
